RCDTS,NCES_ID,District,County,Website,Unit,PDF_Filename,PDF_Size_KB,Folder_Name
010092620,1700105,A-C Central CUSD 262,Cass,http://www.a-ccentral.com,CBA (Unit Unspecified),ACCentral_CBA_2024-2027.pdf,1011.5,A-C_Central_CUSD_262
330482760,1701413,Abingdon-Avon CUSD 276,Knox,,CBA (Unit Unspecified),AAEA_CBA_2024-2027.pdf,451.4,Abingdon-Avon_CUSD_276
330482760,1701413,Abingdon-Avon CUSD 276,Knox,,CBA (Unit Unspecified),AATA_CBA_2024-2027.pdf,2221.6,Abingdon-Avon_CUSD_276
190220040,1703150,Addison SD 4,Dupage,http://www.asd4.org,Unknown,ATA_Negotiations_Agreement.pdf,565.6,Addison_SD_4
340491250,1732580,Adlai E Stevenson HSD 125,Lake,http://www.d125.org,Unknown,Faculty_Agreement_2021-2026.pdf,1914.8,Adlai_E_Stevenson_HSD_125
210280910,1703210,Akin CCSD 91,Franklin,http://www.akin91.com,Administrators,Superintendent_Principal_Contract.pdf,3671.7,Akin_CCSD_91
280372250,1703660,AlWood CUSD 225,Henry,http://www.alwood.net,Unknown,Certificated_Employees_Agreement.pdf,1228.0,AlWood_CUSD_225
280372250,1703660,AlWood CUSD 225,Henry,http://www.alwood.net,Support Staff,Classified_Employees_Agreement.pdf,909.1,AlWood_CUSD_225
130140630,1703270,Albers SD 63,Clinton,http://www.albersschool.dyndns.org,Unknown,ALBERS_IEA_NEA_CONTRACT_2021-2024.pdf,479.6,Albers_SD_63
130140630,1703270,Albers SD 63,Clinton,http://www.albersschool.dyndns.org,Unknown,ALBERS_IEA_NEA_CONTRACT_2024-2027.pdf,704.1,Albers_SD_63
440630190,1703300,Alden Hebron SD 19,McHenry,http://www.alden-hebron.org,Teachers,2023-2027_Teacher_Contract.pdf,1207.1,Alden_Hebron_SD_19
440630190,1703300,Alden Hebron SD 19,McHenry,http://www.alden-hebron.org,Teachers,Teacher_Contract_2019-2023.pdf,918.0,Alden_Hebron_SD_19
