url,host,district,rcdts,page,text,reason
https://docs.google.com/forms/d/e/1FAIpQLSdndK0dIBLTLxxqhZJQnt9JhjNvQu3xpY_BdtKvYoL7O5iqKQ/viewform,docs.google.com,CUSD 308,24047308026,https://www.sd308.org/Departments-and-Programs/Classroom-Resources/Gifted-Education/Placement--Appeals/index.html,View the Appeal Process for Elementary Gifted Education Identification Form here.,viewer_unresolved
https://drive.google.com/drive/folders/12jUl3E7ohryjSfeeeAVVZOgtGNfDmcEv,drive.google.com,CUSD 308,24047308026,https://www.sd308.org/Board-of-Education/index.html,Board Protocols (Agreements),viewer_unresolved
https://drive.google.com/drive/folders/1EjsZ5Hapwqwly1ePkKRUzt_n1UEGiWXe,drive.google.com,CUSD 308,24047308026,https://www.sd308.org/Board-of-Education/index.html,Intergovernmental Agreements,viewer_unresolved
https://drive.google.com/drive/folders/1EndHsrh8-oFyeqyx2uDdABrw5XnxJol2,drive.google.com,CUSD 308,24047308026,https://www.sd308.org/Departments-and-Programs/Human-Resources/,Union Contracts,viewer_unresolved
https://docs.google.com/forms/d/e/1FAIpQLSd3eV6nKopvqIUeSi7lfPndjv0kuPvinBiCHFie9NVcviR9Yw/viewform?embedded=true,docs.google.com,Century CUSD 100,30077100026,https://www.centuryschool100.com/,,viewer_iframe_unresolved
https://docs.google.com/drivesharing/clientmodel?id=1hji3clfx2MBf08H3USMsqHrmtLESjUGE2trSd9SHWSQ&foreignService=kix&authuser=0&origin=https%3A%2F%2Fdocs.google.com,docs.google.com,Emmons SD 33,34049033002,https://docs.google.com/document/d/1hji3clfx2MBf08H3USMsqHrmtLESjUGE2trSd9SHWSQ/edit?usp=sharing,,viewer_iframe_unresolved
https://docs.google.com/document/d/1UAZ_BnZjI5CjJECdZjj_zGik_zo-hZHf/edit?usp=sharing&ouid=114826385770512538506&rtpof=true&sd=true,docs.google.com,Emmons SD 33,34049033002,https://www.emmons33.org/district/board_of_education/board_agreements,Board Agreements,viewer_unresolved
https://docs.google.com/drivesharing/clientmodel?id=1SibQuscB-W2vKfDOrcfi5yb9T0N7aJ6V&foreignService=kix&authuser=0&origin=https%3A%2F%2Fdocs.google.com,docs.google.com,Emmons SD 33,34049033002,https://docs.google.com/document/d/1SibQuscB-W2vKfDOrcfi5yb9T0N7aJ6V/edit?usp=sharing&ouid=114826385770512538506&rtpof=true&sd=true,,viewer_iframe_unresolved
https://drive.google.com/drive/folders/0B9k-XXnD1w3mMUpxRGF6RjRremM?resourcekey=0-hNR8sZPKErTUyy0CxvDBtg,drive.google.com,Eureka CUD 140,53102140026,https://www.district140.org/page/food-service-information,Food Service Documents,viewer_unresolved
https://drive.google.com/drive/folders/0B9k-XXnD1w3mTDFRTXdLN0l4MFE?resourcekey=0-gX9aeC0pndOeutoPhHXDJw,drive.google.com,Eureka CUD 140,53102140026,https://www.district140.org/page/transparency-portal-directory,"Contracts Over $25,000",viewer_unresolved
