district_name,county,enrollment,website_url,last_settlement_year
A-C Central CUSD 262,,250,http://www.a-ccentral.com,2025-26
Addison SD 4,,4499,http://www.asd4.org,2025-26
Akin CCSD 91,,250,http://www.akin91.com,2025-26
AlWood CUSD 225,,250,http://www.alwood.net,2025-26
Albers SD 63,,250,http://www.albersschool.dyndns.org,2025-26
Alden Hebron SD 19,,250,http://www.alden-hebron.org,2025-26
Allen-Otter Creek CCSD 65,,250,http://ransomgradeschool.net,2025-26
Allendale CCSD 17,,250,https://www.allendaleschool.net,2025-26
Altamont CUSD 10,,749,https://www.altamontschools.org,2025-26
Alton CUSD 11,,4499,http://altonschools.org,2025-26
Amboy CUSD 272,,749,http://www.amboy.net,2025-26
Anna CCSD 37,,749,http://www.anna37.com,2025-26
Annawan CUSD 226,,250,http://annawan226.org,2025-26
Aptakisic-Tripp CCSD 102,,1999,http://www.d102.org,2025-26
Arbor Park SD 145,,1999,http://arbor145.org,2025-26
Arcola CUSD 306,,749,http://www.arcola.k12.il.us,2025-26
Argenta-Oreana CUSD 1,,749,http://www.argenta-oreana.org,2025-26
Argo CHSD 217,,1999,http://www.argohs.net,2025-26
Arlington Heights SD 25,,4499,http://www.sd25.org,2025-26
Armstrong Twp HSD 225,,250,http://armstrong.k12.il.us,2025-26
Arthur CUSD 305,,749,http://www.cusd305.org,2025-26
Ashley CCSD 15,,250,http://www.ashleyccsd15.org,2025-26
Ashton-Franklin Center CUSD 275,,250,http://www.afcschools.net,2025-26
Astoria CUSD 1,,250,http://www.acusd1.org,2024-25
Atwood Heights SD 125,,749,http://www.ahsd125.org,2025-26
Aurora West USD 129,,8999,http://www.sd129.org,2025-26
Aviston SD 21,,250,http://www.avistonk-8.org,2025-26
Avoca SD 37,,250,http://avoca37.org,2025-26
Ball Chatham CUSD 5,,4499,http://www.chathamschools.org,2025-26
Barrington CUSD 220,,8999,http://www.barrington220.org,2025-26
Bartelso SD 57,,250,http://www.bartelsobraves.com,2025-26
Beach Park CCSD 3,,1999,http://bpd3.org,2024-25
Beardstown CUSD 15,,1999,http://beardstown.com,2025-26
Beecher City CUSD 20,,250,http://www.beechercity.org,2025-26
Belle Valley SD 119,,749,http://www.bv119.org,2025-26
Belleville SD 118,,4499,http://belleville118.org,2025-26
Bellwood SD 88,,1999,http://www.sd88.org,2023-24
Bement CUSD 5,,250,http://www.bement.k12.il.us,2025-26
Benjamin SD 25,,749,http://www.bendist25.org,2025-26
Benton CCSD 47,,1999,http://www.benton47.org,2025-26
Benton Cons HSD 103,,749,http://www.bentonhighschool.org,2025-26
Berkeley SD 87,,1999,http://www.berkeley87.org,2021-22
Berwyn North SD 98,,1999,http://www.bn98.org,2025-26
Bethalto CUSD 8,,1999,http://www.bethalto.org,2025-26
Bethel SD 82,,250,https://www.bethelschool.net,2025-26
Big Hollow SD 38,,1999,http://www.bighollow.us,2025-26
Bismarck Henning CUSD,,749,http://www.bismarck.k12.il.us,2025-26
Bloomingdale SD 13,,1999,http://www.sd13.org,2025-26
Bloomington SD 87,,4499,http://www.district87.org,2025-26
Blue Ridge CUSD 18,,749,http://www.blueridge18.org,2025-26
Bourbonnais SD 53,,1999,http://www.besd53.org,2025-26
Braceville SD 75,,250,http://bes75.us,2025-26
Bradford CUSD 1,,250,http://www.bradfordschool.net,2023-24
Bradley Bourbonnais CHSD 307,,1999,http://www.bbchs.org,2025-26
Breese ESD 12,,749,http://d12bobcats.org,2025-26
Brimfield CUSD 309,,749,http://www.brimfield309.com,2025-26
Brooklyn UD 188,,250,http://lovejoyschool.org,2025-26
Brookwood SD 167,,1999,http://www.brookwood167.org,2025-26
Brown County CUSD 1,,749,http://www.bchornets.com,2025-26
Brownstown CUSD 201,,250,http://www.bcusd201.com,2025-26
Brussels CUSD 42,,250,http://www.brussels42.net,2025-26
Bunker Hill CUSD 8,,749,http://www.bhcusd.org,2025-26
Burbank SD 111,,250,http://www.bsd111.org,2025-26
Bureau Valley CUSD 340,,749,http://www.bv340.com,2025-26
Burnham SD 154-5,,250,http://www.d1545.org,2024-25
Bushnell Prairie City CUSD 170,,749,http://bpcschools.org,2025-26
Butler SD 53,,250,http://www.butler53.com,2018-19
Byron CUSD 226,,1999,http://byron226.org,2025-26
CCSD 146,,1999,http://www.district146.org,2025-26
CCSD 168,,1999,http://www.d168.org,2025-26
CCSD 180,,250,http://www.ccsd180.org,2025-26
CCSD 204,,250,http://www.ccsd204.org,2025-26
CCSD 62,,4499,http://www.d62.org,2025-26
CCSD 93,,749,http://www.ccsd93.com/pages/CCSD93,2025-26
CHSD 117,,1999,http://www.chsd117.org,2025-26
CHSD 128,,4499,http://www.d128.org,2025-26
CHSD 218,,4499,http://chsd218.org,2025-26
CHSD 99,,4499,http://www.csd99.org,2025-26
CUSD 200,,,http://www.cusd200.org,2025-26
CUSD 201,,1999,http://www.cusd201.org,2025-26
CUSD 300,,,http://www.d300.org,2025-26
CUSD 308,,,http://www.sd308.org,2025-26
CUSD 4,,749,http://www.cusd4.com,2025-26
Cahokia CUSD 187,,4499,http://www.cusd187.org,2025-26
Cairo USD 1,,250,http://www.cairoschooldistrict1.com,2024-25
Calhoun CUSD 40,,250,http://www.calhoun.k12.il.us,2025-26
Calumet Public SD 132,,749,http://www.sd132.org,2025-26
Cambridge CUSD 227,,250,http://www.district227.org,2025-26
Carbon Cliff-Barstow SD 36,,250,http://www.ccb36.com,2025-26
Carbondale CHSD 165,,1999,http://www.cchs165.jacksn.k12.il.us,2025-26
Carbondale ESD 95,,1999,http://www.ces95.org,2025-26
Carlinville CUSD 1,,1999,http://www.cusd1.com,2025-26
Carlyle CUSD 1,,749,http://www.carlyle1.org,2025-26
Carmi-White County CUSD 5,,1999,http://www.carmischools.org,2025-26
Carrier Mills-Stonefort CUSD 2,,250,http://www.cmsfcats.org,2025-26
Carrollton CUSD 1,,250,http://www.c-hawks.net,2025-26
Carterville CUSD 5,,1999,http://www.cartervillelions.com,2025-26
Carthage ESD 317,,250,http://www.cesd317.org,2024-25
Cary CCSD 26,,1999,http://www.cary26.org,2025-26
Center Cass SD 66,,1999,http://www.ccsd66.org,2025-26
Central A & M CUD 21,,749,http://www.camraiders.com,2025-26
Central CHSD 71,,749,http://www.centralcougars.org,2025-26
Central CUSD 3,,749,http://www.cusd3.com,2025-26
Central CUSD 301,,4499,http://www.central301.net,2025-26
Central CUSD 4,,749,http://www.cusd4.org,2025-26
Central City SD 133,,250,http://www.ccs133.com,2021-22
Central SD 104,,749,http://central104.org,2025-26
Central SD 51,,1999,http://www.central51.net,2025-26
Central Stickney SD 110,,250,http://www.sahs.k12.il.us,2025-26
Centralia SD 135,,1999,http://www.ccs135.com,2025-26
Century CUSD 100,,250,http://www.centuryschool100.com,2025-26
Cerro Gordo CUSD 100,,250,http://www.cgbroncos.org,2025-26
Chadwick-Milledgeville CUSD 399,,250,http://www.dist399.net,2022-23
Champaign CUSD 4,,8999,http://champaignschools.org,2025-26
Channahon SD 17,,1999,http://www.csd17.org,2025-26
Charleston CUSD 1,,1999,http://charleston.k12.il.us,2025-26
Chester CUSD 139,,749,http://www.chester139.com,2025-26
Chester-East Lincoln CCSD 61,,250,https://www.cel61.com,2025-26
Chicago Heights SD 170,,1999,https://www.sd170.com,2025-26
Chicago Public Schools Dist 299,,,http://www.cps.k12.il.us,2025-26
Chicago Ridge SD 127-5,,1999,http://www.crsd1275.org,2025-26
Cicero SD 99,,8999,http://www.cicd99.edu,2025-26
Cissna Park CUSD 6,,250,http://www.cpschool.org,2025-26
Clay City CUSD 10,,250,http://claycityschools.org,2025-26
Clinton CUSD 15,,1999,http://www.cusd15.org,2025-26
Coal City CUSD 1,,1999,http://www.coalcity.k12.il.us,2022-23
Cobden SUD 17,,250,http://www.cobdenappleknockers.com,2023-24
Collinsville CUSD 10,,4499,http://www.kahoks.org,2025-26
Colona SD 190,,250,http://www.csd190.org,2024-25
