doc_id,district_name,state,school_year,bargaining_unit,hold_reason,detail,source_url
78,Adlai E Stevenson HSD 125,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=6 -> not-CBA,https://www.d125.org/fs/resource-manager/view/f761757c-b55a-4587-b0b0-844838ff93b7
82,Auburn CUSD 10,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/2 kw=2 -> not-CBA,https://www.auburn.k12.il.us/vimages/shared/vnews/stories/471e255ecba55/5%20220.pdf
87,Berwyn South SD 100,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.bsd100.org/fs/resource-manager/view/dbfd58ee-7272-4ee0-9bbe-15d122e9d568
99,Dolton SD 148,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.district148.net/mentor/files/documents/IMP%20Updates%202024-25/ACEs%20for%20new%20teachers%20aug%202024.pdf
101,Downers Grove GSD 58,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.dg58.org/academics/files/documents//6010_3.pdf
103,East Dubuque USD 119,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/1 kw=0 -> not-CBA,https://www.eastdbqschools.org/fs/resource-manager/view/409df910-7160-4a12-b929-b7cba78d9ede
113,Gardner S Wilmington Twp HSD 73,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/2 kw=2 -> not-CBA,https://www.gswhs73.org/vimages/shared/vnews/stories/67894cc79054e/GAVC Contract.pdf
116,Glenview CCSD 34,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.glenview34.org/fs/resource-manager/view/c0339129-df54-4245-87af-0d8b06bafc23
130,Lostant CUSD 425,IL,,teachers,filename names a CBA (likely false positive),title=1 body=1 agenda=0 policy=0/0 kw=4 -> not-CBA,https://www.lostantcomets.org/vimages/shared/vnews/stories/5d28aebc45e39/Lostant CBA 2025-2028.pdf
133,McLean County USD 5,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=1 policy=0/0 kw=0 -> not-CBA,https://www.unit5.org/fs/resource-manager/view/035a07e9-5821-4075-a981-a3dcfeeb343b
145,Palestine CUSD 3,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://www.palestinecusd3.net/_files/ugd/2f5b74_febc08071c7c43a992c53b461c966016.pdf
150,Rantoul City SD 137,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.rcs137.org/fs/resource-manager/view/23bbce3a-3ca7-4a85-a430-9081a55af497
151,Rantoul Township HSD 193,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://rths193.org/fs/resource-manager/view/2e2f0361-4da4-4298-845c-a57a82211eb5
156,SD U-46,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=1 policy=0/0 kw=4 -> not-CBA,https://www.u-46.org/fs/resource-manager/view/dc87d1ef-dd62-4e62-aeba-3fab040cf002
162,Southwestern CUSD 9,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=5 -> not-CBA,"https://www.piasabirds.net/public-documents/files/docs/Contracts%20in%20Excess%20of%20$25,000.pdf"
163,Sparta CUSD 140,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.sparta140.org/_files/ugd/63dffa_473c2af9dd744f4db1f14fea955838d4.pdf
166,Tri City CUSD 1,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.tricityschools.org/_files/ugd/76199b_c4cc477c8b7342cba2fef208b052e511.pdf
167,Union SD 81,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=3 -> not-CBA,https://www.union81.com/wp-content/uploads/2020/07/IFT-concerns-and-parent-guideline-form.pdf
170,Warren Twp HSD 121,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/3 kw=1 -> not-CBA,https://www.d121.org/fs/resource-manager/view/d1deed40-b2e0-4dce-93a5-b02bb8a3d76a
188,Arbor Park SD 145,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.arbor145.org/departments/transportation/files/documents/Transportation%20Change%20Request%20Form%20(1).pdf
191,Aurora West USD 129,IL,,custodial_maintenance,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.sd129.org/fs/resource-manager/view/f9c224cd-2ad2-41f5-a975-410abd6aaad5
194,CCSD 62,IL,,paraprofessionals,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.d62.org/fs/resource-manager/view/686b62d2-f50c-4b3b-bc63-464978a1646b
195,CHSD 99,IL,,support_staff,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=3 -> not-CBA,https://www.csd99.org/fs/resource-manager/view/57704cb7-0310-4e28-aacb-6776f7966378
201,DeKalb CUSD 428,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.dist428.org/UserFiles/Servers/Server_2861384/File/Departments/Food%20Services/Food%20Service%20Charge%20Procedure%202025-2026.pdf
203,Glenbrook HSD 225,IL,,secretarial_clerical,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.glenbrook225.org/fs/resource-manager/view/2764f5e4-27c1-4a02-a5e9-1d0f1e09a980
204,Glenbrook HSD 225,IL,,nurses,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.glenbrook225.org/fs/resource-manager/view/c72bf23f-eeae-46c2-820d-64e7766d557d
209,Hamilton CCSD 328,IL,,custodial_maintenance,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://hhs328.com/wp-content/uploads/2025/10/Custodial.pdf
213,Jasper CCSD 17,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=1 policy=0/0 kw=1 -> not-CBA,http://www.jasperpolecats.com/images/docs/Cafeteria_Program_Instructions.pdf
216,Kinnikinnick CCSD 131,IL,,custodial_maintenance,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/1 kw=5 -> not-CBA,https://www.kinn131.org/uploads/1/2/8/5/12857008/8_hour_night_custodian.pdf
217,Kinnikinnick CCSD 131,IL,,paraprofessionals,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.kinn131.org/uploads/1/2/8/5/12857008/paraprofessional_.pdf
218,Kinnikinnick CCSD 131,IL,,nurses,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=3 -> not-CBA,https://www.kinn131.org/uploads/1/2/8/5/12857008/sub_registered_nurse.pdf
219,La Harpe CSD 347,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=2 policy=0/0 kw=1 -> not-CBA,https://www.laharpeeagles.org/vimages/shared/vnews/stories/52338dded8296/Committee%20of%20the%20Whole%20Cafeteria%20Meeting%20March%2012%202025.pdf
220,La Salle-Peru Twp HSD 120,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.lphs.net/fs/resource-manager/view/77746387-cba0-4e74-a3a9-0ee201bd29d7
224,Lincolnshire-Prairieview SD 103,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://www.d103.org/uploaded/Transportation_Mendoza_Folder/org_chart_2025_2026.pdf
225,Lincolnshire-Prairieview SD 103,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.d103.org/uploaded/Transportation_Mendoza_Folder/charter_requirements.pdf
238,Zion ESD 6,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.ed.gov/media/document/ilapp10pdf-105899.pdf
248,Bartelso SD 57,IL,,teachers,filename names a CBA (likely false positive),title=1 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://www.bartelsobraves.com/uploads/2/9/4/6/29464495/cba.pdf
250,Christopher USD 99,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=3 agenda=1 policy=0/0 kw=1 -> not-CBA,https://www.ed.gov/sites/ed/files/policy/eseaflex/il.pdf
254,Bethalto CUSD 8,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/21 kw=3 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4879/Bethalto_CUSD/4449202/Policy_2_260_Uniform_Grievance_Procedure.pdf
257,Bradley Bourbonnais CHSD 307,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=1/0 kw=5 -> not-CBA,https://www.bbchs.org/fs/resource-manager/view/1cd8a318-b686-4194-8468-13a4cdd6e319
260,Richland GSD 88A,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.ed.gov/media/document/ildappdf-98060.pdf
271,Cahokia CUSD 187,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/1 kw=1 -> not-CBA,https://ilcourtsaudio.blob.core.windows.net/antilles-resources/resources/162a9a36-996a-425c-abe2-2f163c65e9bf/126212_AEB.pdf
276,Carrollton CUSD 1,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=1 policy=0/10 kw=4 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/5626/Ccsd/6f6335ef-6efc-4f99-9587-961e2072ad2c/830-Visitors-to-and-Conduct-on-School-Property.pdf?disposition=inline
280,Central CUSD 301,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=0/0 kw=7 -> not-CBA,https://central301.net/wp-content/uploads/2026/03/31-045-3010-46-Northern-Kane-Cty-Reg-Voc-System-FY25.pdf
281,Centralia SD 135,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=1 policy=4/11 kw=4 -> not-CBA,https://ccs135.com/wp-content/uploads/2024/05/Policy-2-270.pdf
290,Cons HSD 230,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/0 kw=1 -> not-CBA,https://resources.finalsite.net/images/v1718727142/d230org/bgsnleodrgcjivaogsae/Audit_FY2022-23.pdf
292,Stewardson-Strasburg CUD 5A,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://resources.finalsite.net/images/v1734463868/d86hinsdale86org/spxuvaqlb9nntlq8lenv/2024-11-07SchoolReportCardAcademicCommitteeDraft.pdf
293,Crab Orchard CUSD 3,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/12 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2414/cocusd3/3761661/Policy-5120.pdf
295,Spring Garden CCSD 178,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=1 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/4169/Vhs/bc510a7a-f586-4504-aefd-b7e6410ae75e/Buncombe__Cypress__New_Simpson_Hill__Vienna_Gr.pdf?disposition=inline
299,DeSoto Cons SD 86,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/12 kw=6 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1795/Desoto_86/b2ee607e-3ec3-4b2f-acd6-ef04e7225835/Policy-5120__1_.pdf?disposition=inline
300,Deer Creek-Mackinaw CUSD 701,IL,,paraprofessionals,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/0 kw=6 -> not-CBA,https://cdnsm5-ss18.sharpschool.com/UserFiles/Servers/Server_192508/File/RTI%20Interventionist-Paraprofessional.pdf
317,Eswood CCSD 269,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=1 policy=0/0 kw=3 -> not-CBA,https://resources.finalsite.net/images/v1721937983/eswoodschoolorg/pcvvuh2hrvfpyv4td4tp/Eswood_CCSD_269_-_Evaluation_Plan.pdf
321,Reavis Twp HSD 220,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=1/0 kw=6 -> not-CBA,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3045/LTHSD/2599745/Budget_Narrative_and_Overview_FY23.pdf
323,Fenton CHSD 100,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=2/4 kw=6 -> not-CBA,https://www.fenton100.org/fs/resource-manager/view/90628563-124d-4420-9af4-013fd6642a44
333,Germantown SD 60,IL,,administrators,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=4/1 kw=5 -> not-CBA,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1364527/5_100-AP_Administrative_Procedure_-_Staff_Development_Program.pdf
334,Gifford CCSD 188,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=1 policy=4/29 kw=2 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1743/Gifford/efc50cea-68c3-47a0-812f-c36f8deea163/Gifford_CCSD_188_-_PRESS_Plus_99.pdf?disposition=inline
342,Gurnee SD 56,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/22 kw=3 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3549/Gurnee/31c3e955-77c0-4a69-8f2e-a38b70edbe82/Policy_2260.pdf?disposition=inline
348,Hiawatha CUSD 426,IL,,teachers,filename names a CBA (likely false positive),title=0 body=2 agenda=1 policy=0/0 kw=3 -> not-CBA,https://nflpaweb.blob.core.windows.net/website/PDFs/CBA/March-15-2020-NFL-NFLPA-Collective-Bargaining-Agreement-Final-Executed-Copy.pdf
