contract_id,district_id,district_name,source_doc_id,bucket,detail,source_url
61,10923,Adlai E Stevenson HSD 125,78,no_candidate_table,{'lines_with_money': 56},https://www.d125.org/fs/resource-manager/view/f761757c-b55a-4587-b0b0-844838ff93b7
62,10853,Anna Jonesboro CHSD 81,80,parsed_implausible,,https://aj81.net/wp-content/uploads/2025/08/AJCHSEA-Contract-2025-2028-1.pdf
69,11636,Dallas ESD 327,95,no_candidate_table,"{'lines_with_edu_lane': 14, 'lines_with_money': 65, 'punct_step_rows': 1} | sample: 5. Contract will be a three (3) year agreement for school years 2025, 2026, and ",https://www.dcbulldogs.com/vimages/shared/vnews/stories/594a8e98cd6cd/DCEA Contract 2025-2027.pdf
71,11066,Dunlap CUSD 323,102,no_candidate_table,"{'lines_with_edu_lane': 13, 'lines_with_money': 192, 'punct_step_rows': 1} | sample: 7. The District will award a one-time payment of $1000 when a teacher earns a",https://www.dunlapcusd.net/UserFiles/Servers/Server_2676762/File/Employment/Dunlap%20Bargaining%20Agreement%202025-2028.pdf
72,11380,East Dubuque USD 119,103,no_candidate_table,"{'lines_with_money': 66, 'three_digit_step_rows': 1}",https://www.eastdbqschools.org/fs/resource-manager/view/409df910-7160-4a12-b929-b7cba78d9ede
76,10912,Kildeer Countryside CCSD 96,125,no_candidate_table,"{'lines_with_money': 20, 'lines_with_edu_lane': 24, 'punct_step_rows': 3} | sample: 1. If a teacher retires with 27 years of service in District 96, this person wil || 2. If a teacher retires with 37 years of service in District 96, this person wil || 4. If a teacher retires with 25 years of service in District 96, the first 5 yea",https://www.kcsd96.org/fs/resource-manager/view/177da36e-8763-4a19-a28d-5862f3ee54ba
81,10956,Lostant CUSD 425,130,scanned_no_text,words=28 pages=24,https://www.lostantcomets.org/vimages/shared/vnews/stories/5d28aebc45e39/Lostant CBA 2025-2028.pdf
83,10917,North Shore SD 112,142,no_candidate_table,"{'lines_with_edu_lane': 26, 'lines_with_money': 36, 'punct_step_rows': 2} | sample: 1. Beginning July 1, 1999, six (6) out of any fifteen (15) semester hour credits || 5. The District agrees to offer the sum of $140,000 each year for",https://www.nssd112.org/fs/resource-manager/view/4b6745e5-e730-472e-89a9-501125950d85
85,10575,Rantoul City SD 137,150,no_candidate_table,{'lines_with_edu_lane': 1},https://www.rcs137.org/fs/resource-manager/view/23bbce3a-3ca7-4a85-a430-9081a55af497
123,10712,SD 45 DuPage County,155,no_candidate_table,"{'lines_with_money': 62, 'lines_with_edu_lane': 26, 'punct_step_rows': 1} | sample: 3. Life insurance which indemnifies each teacher in the amount of $20,000.00 aga",https://d45.org/wp-content/uploads/2025/05/District-45-Approved-VPEA-Collective-Bargaining-Agreement-2025-28.pdf
124,10981,Southwestern CUSD 9,162,no_candidate_table,{'lines_with_money': 2},"https://www.piasabirds.net/public-documents/files/docs/Contracts%20in%20Excess%20of%20$25,000.pdf"
127,10435,Wilmette SD 39,175,no_candidate_table,"{'lines_with_money': 55, 'lines_with_edu_lane': 27, 'punct_step_rows': 1} | sample: 1. District 403(b) Plan - During the successor contract negotiations in 2008, th",https://www.wilmette39.org/UserFiles/Servers/Server_360846/File/Employment/Human Resources/Certified Staff/WEA Contract Final 23-28.pdf
130,10976,Northwestern CUSD 2,181,no_candidate_table,"{'lines_with_money': 205, 'lines_with_edu_lane': 27}",https://www.northwestern.k12.il.us/vimages/shared/vnews/stories/4f567e2ddd4f1/2025-2028%20Northwestern%20Teacher%20Contract%20.pdf
132,10479,Oak Park ESD 97,182,no_candidate_table,"{'lines_with_edu_lane': 15, 'lines_with_money': 89, 'punct_step_rows': 2} | sample: 1. The Board shall provide term life insurance for each full-time teacher to a m || 7. The Board will contribute a minimum of $500 annually to the Health Savings Ac",https://www.op97.org/hr/files/documents/Employee%20Information/OPTA%20-%202025%20-%202028%20CBA.pdf
133,10710,Glen Ellyn SD 41,114,no_candidate_table,"{'lines_with_money': 62, 'lines_with_edu_lane': 42, 'text_step_rows': 5} | sample: Step 1 $1210.00 $1980.00 $1650.00 $770.00 stipend for TFE Co- || Step 2 $1210.00 $2530.00 $1980.00 $1100.00 $660.00 chairs and Hadley BLT || Step 3 $1210.00 $2970.00 $2310.00 $1320.00 $770.00 Department Chairs || Step 4 $1210.00 $3520.00 $2530.00 $1760.00 $880.00",https://www.d41.org/fs/resource-manager/view/f3991333-297e-4b95-bda2-c75277967fb1
171,10895,Antioch CCSD 34,81,scanned_no_text,words=0 pages=68,https://www.antioch34.com/fs/resource-manager/view/c844693b-288f-4d09-ae25-aedec8cf3e56
172,10411,Belvidere CUSD 100,86,scanned_no_text,words=0 pages=1,https://www.district100.com/fs/resource-manager/view/3bcba7cc-6831-41e4-ae37-d4770f56aec4
173,10876,Bradley SD 61,88,scanned_no_text,words=0 pages=27,https://www.bradleyschools.com/fs/resource-manager/view/97960172-9e78-437f-9e57-30ed224d76d9
174,10727,CHSD 94,89,scanned_no_text,words=0 pages=1,https://www.d94.org/fs/resource-manager/view/3edf5b7e-f014-410c-96fe-9f50f08690d0
175,11163,Chaney-Monge SD 88,93,scanned_no_text,words=0 pages=54,https://chaneymonge.us/sites/default/files/2022-12/Collective%20Bargaining%20Agreement%20FY23-FY26.pdf
176,10565,Dakota CUSD 201,94,scanned_no_text,words=0 pages=44,https://www.dakota201.org/vimages/shared/vnews/stories/6503547ea7f2b/SY 24-27 DAKOTA CONTRACT.pdf
177,11808,Decatur SD 61,97,scanned_no_text,words=0 pages=39,https://www.dps61.org/cms/lib/IL50010903/Centricity/Domain/1143/WEB DFTA Contract July 1 2025 through June 20 2028 3.0.pdf
179,10740,Edwards County CUSD 1,105,scanned_no_text,words=0 pages=27,https://www.edwardscountyschools.org/UserFiles/Servers/Server_64932/File/Administration/Contract%20Agreements/ECTA%202024-2027.pdf
180,10842,Elverado CUSD 196,106,scanned_no_text,words=0 pages=20,https://www.elv196.org/administration/district-data/union-contracts/72-eea-contract/file
183,10761,Ewing Northern CCSD 115,108,scanned_no_text,words=0 pages=20,https://www.ewinggradeschool.org/UserFiles/Servers/Server_20448887/File/Ewing Teacher Contract 23-26.pdf
184,10610,Flora CUSD 35,109,scanned_no_text,words=0 pages=54,https://www.floraschools.com/cms_files/resources/Flora Teachers-2024-2027 Final-Signed.pdf
186,11760,Fox Lake GSD 114,110,scanned_no_text,words=0 pages=51,https://www.d114.org/files/documents/D114%20Contractual%20Agreement%207.1.2024%206.30.2028.pdf
189,10990,Granite City CUSD 9,117,scanned_no_text,words=0 pages=38,https://www.gcsd9.net/fs/resource-manager/view/7927aef0-4747-4833-bcba-a51afefc9eae
191,10731,Hinsdale CCSD 181,119,scanned_no_text,words=0 pages=73,https://www.d181.org/uploaded/Departments/Human_Resources/Human_Resources_Files/FY24-FY27_HCHTA_Contract.pdf
192,10658,Indian Creek CUSD 425,120,scanned_no_text,words=0 pages=40,https://www.indiancreekschools.org/pdfs/IC 425 2024-2028 Teachers Contract.pdf
194,11033,Kings Cons SD 144,126,scanned_no_text,words=0 pages=33,https://www.kings144.org/_files/ugd/780b07_a695aaff77f84e1f9f7838e904d7004e.pdf
195,11168,Lockport SD 91,129,scanned_no_text,words=0 pages=38,http://www.d91.net/uploads/1/1/7/0/11700295/fy27-fy29_final_d91_board___teachers_association_contract_ratified_6-9-26.pdf
196,10888,Mercer County School District 404,134,no_candidate_table,"{'lines_with_money': 10, 'lines_with_edu_lane': 7}",https://www.mercerschools.org/_files/ugd/52544f_6204fda182394623898fcac7ad74f964.pdf
197,10785,Minooka CCSD 201,135,scanned_no_text,words=0 pages=2,https://www.min201.org/fs/resource-manager/view/0ea1631c-e1cf-4c2a-8d4f-c3b936640f16
198,10447,Morton Grove SD 70,136,scanned_no_text,words=0 pages=78,https://www.mgsd70.org/board-of-education/files/documents/Teacher Contract/D70 and Park View Council of Teachers Contract 2024-2028.pdf
200,11127,N Pekin & Marquette Hght SD 102,137,scanned_no_text,words=0 pages=31,https://www.dist102.org/vimages/shared/vnews/stories/50783ee3a98f4/Signed MASTER CONTRACT 2022.2026.pdf
