doc_id,district_id,district_name,state,school_year,bargaining_unit,classification,detail,source_url
78,10923,Adlai E Stevenson HSD 125,IL,,teachers,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=6 -> not-CBA,https://www.d125.org/fs/resource-manager/view/f761757c-b55a-4587-b0b0-844838ff93b7
79,10506,Alsip-Hazlgrn-Oaklwn SD 126,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.dist126.org/employee-resources/files/documents/Tuition%20Reimbursement%20Form%20-%20Teachers.pdf
81,10895,Antioch CCSD 34,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.antioch34.com/fs/resource-manager/view/c844693b-288f-4d09-ae25-aedec8cf3e56
82,11111,Auburn CUSD 10,IL,,teachers,not-CBA,title=0 body=1 agenda=0 policy=0/2 kw=2 -> not-CBA,https://www.auburn.k12.il.us/vimages/shared/vnews/stories/471e255ecba55/5%20220.pdf
86,10411,Belvidere CUSD 100,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.district100.com/fs/resource-manager/view/3bcba7cc-6831-41e4-ae37-d4770f56aec4
87,10482,Berwyn South SD 100,IL,,teachers,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.bsd100.org/fs/resource-manager/view/dbfd58ee-7272-4ee0-9bbe-15d122e9d568
88,10876,Bradley SD 61,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.bradleyschools.com/fs/resource-manager/view/97960172-9e78-437f-9e57-30ed224d76d9
89,10727,CHSD 94,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.d94.org/fs/resource-manager/view/3edf5b7e-f014-410c-96fe-9f50f08690d0
92,10719,Cass SD 63,IL,,teachers,not-CBA,title=0 body=0 agenda=0 policy=0/10 kw=2 -> not-CBA policy_manual,https://www.cassd63.org/fs/resource-manager/view/d25855d9-a858-40be-bd06-c2f939508016
93,11163,Chaney-Monge SD 88,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://chaneymonge.us/sites/default/files/2022-12/Collective%20Bargaining%20Agreement%20FY23-FY26.pdf
94,10565,Dakota CUSD 201,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.dakota201.org/vimages/shared/vnews/stories/6503547ea7f2b/SY 24-27 DAKOTA CONTRACT.pdf
97,11808,Decatur SD 61,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.dps61.org/cms/lib/IL50010903/Centricity/Domain/1143/WEB DFTA Contract July 1 2025 through June 20 2028 3.0.pdf
99,10521,Dolton SD 148,IL,,teachers,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.district148.net/mentor/files/documents/IMP%20Updates%202024-25/ACEs%20for%20new%20teachers%20aug%202024.pdf
101,10715,Downers Grove GSD 58,IL,,teachers,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.dg58.org/academics/files/documents//6010_3.pdf
